policy_id,c_value,max_iterations,time_limit,trial,num_rollouts,time_taken
1,1.0,10000,0.5,1,3843,0.5
1,1.0,10000,0.5,2,3879,0.5
1,1.0,10000,0.5,3,3855,0.5
2,1.0,10000,1.0,1,7740,1.0
2,1.0,10000,1.0,2,7679,1.0
2,1.0,10000,1.0,3,7665,1.0
3,1.0,10000,2.0,1,10000,1.359
3,1.0,10000,2.0,2,10000,1.35
3,1.0,10000,2.0,3,10000,1.363
4,1.0,50000,0.5,1,3923,0.5
4,1.0,50000,0.5,2,3823,0.5
4,1.0,50000,0.5,3,3923,0.5
5,1.0,50000,1.0,1,7666,1.0
5,1.0,50000,1.0,2,7692,1.0
5,1.0,50000,1.0,3,7444,1.0
6,1.0,50000,2.0,1,14419,2.0
6,1.0,50000,2.0,2,14122,2.0
6,1.0,50000,2.0,3,14696,2.0
7,1.0,100000,0.5,1,3758,0.5
7,1.0,100000,0.5,2,3624,0.5
7,1.0,100000,0.5,3,3794,0.5
8,1.0,100000,1.0,1,7504,1.0
8,1.0,100000,1.0,2,7453,1.0
8,1.0,100000,1.0,3,7458,1.0
9,1.0,100000,2.0,1,13928,2.0
9,1.0,100000,2.0,2,14666,2.0
9,1.0,100000,2.0,3,15167,2.0
10,1.4142135623730951,10000,0.5,1,3640,0.5
10,1.4142135623730951,10000,0.5,2,3763,0.5
10,1.4142135623730951,10000,0.5,3,3766,0.5
11,1.4142135623730951,10000,1.0,1,7361,1.0
11,1.4142135623730951,10000,1.0,2,7427,1.0
11,1.4142135623730951,10000,1.0,3,7312,1.0
12,1.4142135623730951,10000,2.0,1,10000,1.397
12,1.4142135623730951,10000,2.0,2,10000,1.37
12,1.4142135623730951,10000,2.0,3,10000,1.329
13,1.4142135623730951,50000,0.5,1,3801,0.5
13,1.4142135623730951,50000,0.5,2,3839,0.5
13,1.4142135623730951,50000,0.5,3,3842,0.5
14,1.4142135623730951,50000,1.0,1,7258,1.0
14,1.4142135623730951,50000,1.0,2,7627,1.0
14,1.4142135623730951,50000,1.0,3,7715,1.0
15,1.4142135623730951,50000,2.0,1,14583,2.0
15,1.4142135623730951,50000,2.0,2,14308,2.0
15,1.4142135623730951,50000,2.0,3,15875,2.0
16,1.4142135623730951,100000,0.5,1,3919,0.5
16,1.4142135623730951,100000,0.5,2,3886,0.5
16,1.4142135623730951,100000,0.5,3,3701,0.5
17,1.4142135623730951,100000,1.0,1,7573,1.0
17,1.4142135623730951,100000,1.0,2,7561,1.0
17,1.4142135623730951,100000,1.0,3,7243,1.0
18,1.4142135623730951,100000,2.0,1,14614,2.0
18,1.4142135623730951,100000,2.0,2,14345,2.0
18,1.4142135623730951,100000,2.0,3,14298,2.0
19,2.0,10000,0.5,1,3783,0.5
19,2.0,10000,0.5,2,3847,0.5
19,2.0,10000,0.5,3,3605,0.5
20,2.0,10000,1.0,1,7583,1.0
20,2.0,10000,1.0,2,7578,1.0
20,2.0,10000,1.0,3,7287,1.0
21,2.0,10000,2.0,1,10000,1.362
21,2.0,10000,2.0,2,10000,1.335
21,2.0,10000,2.0,3,10000,1.342
22,2.0,50000,0.5,1,3829,0.5
22,2.0,50000,0.5,2,3758,0.5
22,2.0,50000,0.5,3,3821,0.5
23,2.0,50000,1.0,1,7391,1.0
23,2.0,50000,1.0,2,7358,1.0
23,2.0,50000,1.0,3,7493,1.0
24,2.0,50000,2.0,1,13864,2.0
24,2.0,50000,2.0,2,14605,2.0
24,2.0,50000,2.0,3,14296,2.0
25,2.0,100000,0.5,1,3883,0.5
25,2.0,100000,0.5,2,3898,0.5
25,2.0,100000,0.5,3,3899,0.5
26,2.0,100000,1.0,1,7483,1.0
26,2.0,100000,1.0,2,7558,1.0
26,2.0,100000,1.0,3,7440,1.0
27,2.0,100000,2.0,1,14742,2.0
27,2.0,100000,2.0,2,15226,2.0
27,2.0,100000,2.0,3,14475,2.0
