ID,sepallength,sepalwidth,petallength,petalwidth,class
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,medium,high,low,low,Iris-setosa
low,medium,high,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,medium,high,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,low,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
low,low,high,low,low,Iris-setosa
low,low,medium,low,low,Iris-setosa
medium,high,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,high,medium,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
